id,condition,grade
7129300520,Minor Deferred,7
6414100192,Minor Deferred,7
5631500400,Minor Deferred,6
2487200875,No Deferred,7
1954400510,Minor Deferred,8
7237550310,Minor Deferred,11
1321400060,Minor Deferred,7
2008000270,Minor Deferred,7
2414600126,Minor Deferred,7
3793500160,Minor Deferred,7
1736800520,Minor Deferred,8
9212900260,Limited Deferred,7
114101516,Limited Deferred,7
6054650070,Limited Deferred,7
1175000570,Minor Deferred,7
9297300055,Minor Deferred,9
1875500060,Minor Deferred,7
6865200140,Limited Deferred,7
16000397,Limited Deferred,7
7983200060,Limited Deferred,7
6300500875,Limited Deferred,7
2524049179,Minor Deferred,9
7137970340,Minor Deferred,8
8091400200,Minor Deferred,7
3814700200,Limited Deferred,8
1202000200,No Deferred,6
1794500383,Minor Deferred,8
3303700376,No Deferred,8
5101402488,Minor Deferred,7
1873100390,Minor Deferred,8
8562750320,Minor Deferred,8
2426039314,Minor Deferred,7
461000390,Limited Deferred,7
7589200193,Limited Deferred,8
7955080270,Minor Deferred,7
9547205180,Minor Deferred,8
9435300030,Severe Deferred,5
2768000400,Limited Deferred,8
7895500070,Significant Deferred,7
2078500320,Minor Deferred,8
5547700270,Minor Deferred,9
7766200013,Minor Deferred,8
7203220400,Minor Deferred,9
9270200160,Minor Deferred,7
1432701230,Limited Deferred,6
8035350320,Minor Deferred,8
8945200830,Minor Deferred,6
4178300310,Limited Deferred,9
9215400105,Limited Deferred,7
822039084,No Deferred,9
5245600105,Minor Deferred,7
7231300125,Limited Deferred,8
7518505990,Limited Deferred,7
3626039271,Minor Deferred,7
4217401195,Minor Deferred,8
9822700295,Minor Deferred,9
9478500640,Minor Deferred,7
2799800710,Minor Deferred,8
7922800400,Limited Deferred,8
8079040320,Minor Deferred,8
1516000055,Limited Deferred,8
9558200045,Minor Deferred,7
5072410070,No Deferred,8
9528102996,Minor Deferred,8
1189001180,Minor Deferred,7
3253500160,No Deferred,7
3394100030,Minor Deferred,10
3717000160,Minor Deferred,7
1274500060,Limited Deferred,7
1802000060,Minor Deferred,8
1525059190,Limited Deferred,11
1049000060,Limited Deferred,7
8820901275,No Deferred,7
5416510140,Minor Deferred,8
3444100400,No Deferred,7
3276920270,Limited Deferred,10
4036801170,Minor Deferred,7
2391600320,Minor Deferred,7
6300000287,Limited Deferred,7
1531000030,Minor Deferred,10
5104520400,Minor Deferred,8
7437100340,Minor Deferred,7
9418400240,Minor Deferred,7
1523059105,Minor Deferred,8
1133000671,Minor Deferred,6
4232902595,Minor Deferred,9
2599001200,No Deferred,7
3342103156,Minor Deferred,9
1332700270,Limited Deferred,7
3869900162,Minor Deferred,7
2791500270,Minor Deferred,7
5036300431,Limited Deferred,10
4168000060,Minor Deferred,7
6021501535,Minor Deferred,8
1483300570,Minor Deferred,7
3422049190,Minor Deferred,7
1099611230,Limited Deferred,7
722079104,No Deferred,7
7338200240,Minor Deferred,9
1952200240,No Deferred,9
5200100125,Limited Deferred,7
7214720075,Limited Deferred,8
2450000295,Minor Deferred,8
6197800045,Minor Deferred,7
1328310370,Limited Deferred,8
546000875,Limited Deferred,7
3530510041,Limited Deferred,8
1853000400,Limited Deferred,10
3134100116,Limited Deferred,7
9545230140,Minor Deferred,8
3362400511,No Deferred,6
2525310310,Limited Deferred,7
6126500060,Minor Deferred,7
8961960160,Minor Deferred,9
3626039325,Minor Deferred,8
3362400431,Minor Deferred,8
4060000240,Limited Deferred,6
3454800060,Minor Deferred,6
1695900060,Limited Deferred,7
7278700070,Minor Deferred,8
6675500070,Minor Deferred,7
3626039187,Minor Deferred,6
3524049083,No Deferred,7
3275860240,Minor Deferred,9
4389200955,Minor Deferred,8
4058801670,Minor Deferred,8
8732020310,Minor Deferred,8
2331300505,No Deferred,7
7853210060,Minor Deferred,7
3668000070,Limited Deferred,7
9545240070,Minor Deferred,8
1243100136,Minor Deferred,9
8929000270,Minor Deferred,8
2767602356,Minor Deferred,9
921049315,Limited Deferred,7
3655000070,Minor Deferred,7
4027700812,Limited Deferred,8
3992700335,Minor Deferred,6
2767603505,Minor Deferred,8
4232901525,Minor Deferred,7
1777500060,Limited Deferred,8
1432900240,Limited Deferred,7
6140100875,Limited Deferred,7
6071600370,Limited Deferred,8
1526069017,Limited Deferred,9
809001525,Minor Deferred,8
3224079105,Minor Deferred,7
8075400570,Limited Deferred,8
1994200024,Minor Deferred,7
3362900810,Minor Deferred,8
1324300398,Minor Deferred,7
537000445,Limited Deferred,7
